sample	Raw_reads_fwd	Raw_mean_length_fwd	Raw_median_length_fwd	Raw_reads_rev	Raw_mean_length_rev	Raw_median_length_rev	Trimmed	Trimmed_fwd	Trimmed_rev	Removed	Removed_fwd	Removed_rev	Filtered_reads_fwd	Filtered_mean_length_fwd	Filtered_median_length_fwd	Filtered_reads_rev	Filtered_mean_length_rev	Filtered_median_length_rev	Combined pairs	Uncombined pairs	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_combined
1ng-30cycles-1	275152	300	301	275152	300	300	509447	250179	259268	37693	21809	15884	242096	265	277	242096	222	227	209033	242096	88264	2054	1642	6	180502	74.56
zero5ng-30cycles-1	359368	300	301	359368	300	300	665454	326768	338686	49132	28451	20681	316575	266	277	316575	223	227	274564	316575	110508	2636	2101	5	239869	75.77
1ng-25cycles-3	172137	300	301	172137	300	300	315854	154559	161295	26482	15642	10840	149233	265	277	149233	223	227	128265	149233	50807	1308	1206	2	120876	81.0
zero5ng-30cycles-2	242911	300	301	242911	300	300	449556	221480	228076	33397	18562	14835	213997	267	278	213997	222	227	186286	213997	72233	1822	1534	3	166269	77.7
1ng-30cycles-2	391843	300	301	391843	300	300	724875	357756	367119	53718	28996	24722	345232	267	277	345232	221	226	299176	345232	122988	2966	2480	4	265197	76.82
1ng-30cycles-3	256766	300	301	256766	300	300	453161	223254	229907	58344	31485	26859	206824	257	272	206824	208	205	154532	206824	89374	1953	1693	3	136259	65.88
zero5ng-25cycles-1	308283	300	301	308283	300	300	569407	277786	291621	43427	26767	16660	270219	265	277	270219	225	230	233528	270219	86199	2150	1997	2	221675	82.04
zero5ng-30cycles-3	132333	300	301	132333	300	300	183132	106023	77109	80943	25722	55221	65823	247	263	65823	174	177	29501	65823	23563	361	330	1	25045	38.05
1ng-25cycles-1	133794	300	301	133794	300	300	245147	120830	124317	20848	11371	9477	115918	265	277	115918	220	223	98970	115918	40840	1044	944	0	91507	78.94
zero5ng-25cycles-2	352123	300	301	352123	300	300	648535	318719	329816	50482	28176	22306	308459	267	277	308459	221	226	266924	308459	102877	2600	2357	3	250741	81.29
1ng-25cycles-2	225513	300	301	225513	300	300	410838	203514	207324	37100	18912	18188	193922	267	277	193922	218	217	165528	193922	70201	1737	1527	4	151784	78.27
zero5ng-25cycles-3	236495	300	301	236495	300	300	437038	212481	224557	33097	21161	11936	207488	265	277	207488	227	232	180797	207488	65025	1791	1690	4	172782	83.27
