OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_904	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	Paraprevotella	
OTU_1614	Bacteria	Firmicutes	Clostridia	Clostridiales	[Tissierellaceae]	Anaerococcus	
OTU_2338	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_1296	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU_1421	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU_2048	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU_2253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_353	Bacteria	Cyanobacteria	4C0d-2	YS2			
OTU_933	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
OTU_785	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_1073	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae		
OTU_1982	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	
OTU_1163	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
OTU_443	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
OTU_2187	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_795	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_687	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_1876	Archaea	Euryarchaeota	Thermoplasmata	E2	[Methanomassiliicoccaceae]		
OTU_1937	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae		
OTU_2239	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae		
OTU_194	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_2167	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
OTU_2083	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	ACK-M1		
OTU_756	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_945	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_2080	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_1335	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	
OTU_1082	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_495	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_381	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	amylovorum
OTU_1645	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Wautersiella	
OTU_2033	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45			
OTU_2029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU_1350	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_744	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	
OTU_1670	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_1135	Bacteria	Tenericutes	Mollicutes	RF39			
OTU_69	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	mucilaginosa
OTU_2172	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_1323	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermatophilaceae		
OTU_1180	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	adhaesivum
OTU_115	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_1043	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
OTU_2045	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	
OTU_1931	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae		
OTU_584	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	
OTU_430	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Odoribacteraceae]		
OTU_1597	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_1973	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri
OTU_2311	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri
OTU_1639	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU_727	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	delbrueckii
OTU_191	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	
OTU_2059	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	
OTU_1093	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae		
OTU_112	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	ruminis
OTU_163	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	
OTU_66	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
OTU_1437	Bacteria	Bacteroidetes	Flavobacteriia				
OTU_183	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
OTU_229	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	stercorea
OTU_947	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_1528	Bacteria	Spirochaetes	GN05	SBYZ_6080			
OTU_1813	Bacteria	Proteobacteria	Alphaproteobacteria	RF32			
OTU_2244	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
OTU_1344	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_857	Bacteria	Tenericutes	Mollicutes	RF39			
OTU_1495	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_1999	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae		
OTU_1868	Bacteria	Cyanobacteria	Chloroplast	Streptophyta			
OTU_654	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
OTU_1485	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae		
OTU_2293	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister	
OTU_811	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_1269	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_1383	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU_255	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
OTU_205	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_608	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7		
OTU_772	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7		
OTU_557	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae		
OTU_345	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	
OTU_97	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_1048	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_741	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_1622	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
OTU_991	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	pulmonis
OTU_679	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7		
OTU_462	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
OTU_463	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_118	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
