sample	Raw_reads	Raw_mean_length	Raw_median_length	Trimmed	Removed	Host_1_time	Host_>1_time	Phi_phage_1_time	Phi_phage_>1_time	Filtered_reads	Filtered_mean_length	Filtered_median_length	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_proc
ERR2712574	33109	250	250	6847	1407	0	0	1	0	31701	248	250	6234	452	273	6	27802	87.7
ERR2712782	47690	250	250	8755	2982	0	0	5	0	44703	248	250	8637	199	114	0	38458	86.03
ERR2712537	20855	250	250	3080	1068	0	0	0	0	19787	248	250	5898	455	265	5	15553	78.6
ERR2712432	42219	250	250	11539	6874	0	3	1	0	35341	244	250	9053	568	402	6	30207	85.47
ERR2712669	34407	250	250	8901	3205	0	0	0	0	31202	246	250	9962	364	267	2	25114	80.49
ERR2712473	30237	250	250	9760	6000	0	0	9	0	24228	239	250	4191	150	134	6	23327	96.28
ERR2712685	9003	250	250	2066	773	0	0	0	0	8230	247	250	1933	110	72	3	7118	86.49
ERR2712573	26571	250	250	4358	1486	0	0	1	0	25084	248	250	7083	367	210	4	19773	78.83
ERR2712879	17859	250	250	5094	1696	0	0	0	0	16163	246	250	3763	47	29	1	13628	84.32
ERR2712796	21514	250	250	6344	1555	0	0	0	0	19959	247	250	3407	145	111	1	18414	92.26
ERR2712703	12973	250	250	3335	925	0	0	0	0	12048	247	250	3008	105	75	0	10293	85.43
ERR2712871	35045	250	250	10016	2986	0	0	1	0	32058	247	250	7270	96	63	2	27378	85.4
ERR2712433	32823	250	250	7989	3064	0	0	11	0	29748	246	250	7077	1822	1458	22	28054	94.31
ERR2712754	18904	250	250	5139	1297	0	0	0	0	17607	247	250	4201	73	54	5	15471	87.87
ERR2712805	23802	250	250	5350	1650	0	0	1	0	22151	248	250	2823	64	54	0	21600	97.51
ERR2712585	24561	250	250	4415	1571	0	0	1	0	22989	248	250	6841	279	187	6	18511	80.52
ERR2712684	11921	250	250	2822	828	0	0	0	0	11093	247	250	2338	105	74	0	9655	87.04
ERR2712924	26167	250	250	6517	2183	0	0	0	0	23984	247	250	6134	38	17	0	19301	80.47
ERR2712815	8730	250	250	2153	685	0	0	0	0	8045	247	250	1651	24	14	0	7023	87.3
ERR2712701	9863	250	250	2663	652	0	0	0	0	9211	247	250	2019	74	60	2	8113	88.08
ERR2712447	11175	250	250	3022	1417	0	0	14	0	9744	245	250	1745	91	85	5	9625	98.78
ERR2712836	35246	250	250	8412	3423	0	0	0	0	31823	247	250	6034	279	175	1	28323	89.0
ERR2712566	21218	250	250	4292	1109	0	0	0	0	20109	248	250	4865	365	225	3	17248	85.77
ERR2712692	11266	250	250	3002	987	0	0	0	0	10279	246	250	2730	88	68	0	8611	83.77
ERR2712829	13322	250	250	3722	1079	0	0	0	0	12243	247	250	2959	35	27	1	10640	86.91
ERR2712633	19546	250	250	4018	2254	0	0	19	0	17273	246	250	2380	79	76	2	16517	95.62
ERR2712629	31946	250	250	7646	4563	1	1	28	0	27353	246	250	4721	116	110	2	25433	92.98
ERR2712632	24619	250	250	3638	2266	0	0	18	0	22335	248	250	2726	68	60	0	21229	95.05
ERR2712598	18048	250	250	2508	1175	0	0	0	0	16873	248	250	3532	166	110	2	14592	86.48
ERR2712624	19413	250	250	2794	1292	0	0	16	0	18105	249	250	3807	85	74	14	17047	94.16
ERR2712942	28507	250	250	7594	2414	0	0	0	0	26093	247	250	5318	33	23	1	22857	87.6
ERR2712750	43158	250	250	14142	4026	0	0	1	0	39131	245	250	11988	153	123	0	32641	83.41
ERR2712911	13667	250	250	3245	994	0	0	0	0	12673	247	250	2385	12	7	0	11080	87.43
ERR2712417	50575	250	251	16541	10425	0	4	9	0	40137	240	250	8348	932	791	14	37315	92.97
ERR2712774	8662	250	250	1928	635	0	0	0	0	8027	247	250	1618	30	26	0	7061	87.97
ERR2712454	33539	250	250	9995	6563	5	0	9	0	26962	240	250	4844	242	216	8	25641	95.1
ERR2712698	56664	250	250	13771	4003	0	0	0	0	52661	247	250	9892	290	220	4	46808	88.89
ERR2712929	18489	250	250	6089	1983	0	0	0	0	16506	246	250	4644	43	27	2	13333	80.78
ERR2712888	10143	250	250	2842	774	0	0	0	0	9369	247	250	1662	16	10	0	8496	90.68
ERR2712419	58047	250	250	16500	8534	1	1	6	0	49505	244	250	11005	1057	852	17	44615	90.12
ERR2712590	27114	250	250	4114	1612	0	0	0	0	25502	249	250	5990	332	201	11	21347	83.71
ERR2712874	34052	250	250	8921	2681	0	0	1	0	31370	247	250	6281	69	48	0	27724	88.38
ERR2712410	51871	250	250	14388	8215	0	0	7	0	43649	244	250	11288	2147	1583	15	38745	88.76
ERR2712893	23316	250	250	6856	1970	0	0	0	0	21346	247	250	4473	46	21	0	18344	85.94
ERR2712646	4338	250	250	930	357	0	0	48	0	3933	248	250	742	37	25	1	3589	91.25
ERR2712876	46363	250	250	12227	4624	0	0	3	0	41736	246	250	8489	118	77	2	36528	87.52
ERR2712677	30868	250	250	9009	3329	0	0	0	0	27539	246	250	4781	220	145	3	24784	90.0
ERR2712891	25855	250	250	6702	2030	0	0	0	0	23825	247	250	3923	63	48	2	21916	91.99
ERR2712740	13170	250	250	3001	898	0	0	0	0	12272	248	250	2218	54	41	1	11135	90.74
ERR2712877	43941	250	250	11460	3735	0	0	0	0	40206	247	250	7808	104	62	1	35482	88.25
ERR2712775	17082	250	250	3953	1217	0	0	0	0	15865	247	250	2998	107	67	1	13807	87.03
ERR2712699	13009	250	250	3354	1048	0	0	0	0	11961	247	250	3396	93	65	0	9885	82.64
ERR2712644	9334	250	250	2007	980	0	0	40	0	8314	247	250	1131	27	24	2	8013	96.38
ERR2712742	12498	250	250	2732	970	0	0	0	0	11528	247	250	2152	54	37	1	10452	90.67
ERR2712425	46663	250	250	12705	7036	0	0	7	0	39620	244	250	8720	752	630	19	36743	92.74
ERR2712529	29762	250	250	4892	1680	0	0	2	0	28080	248	250	6564	651	351	8	23794	84.74
ERR2712678	16151	250	250	3852	1307	0	0	0	0	14844	248	250	4504	234	155	3	12032	81.06
ERR2712839	46198	250	250	14842	3920	0	0	0	0	42278	247	250	8822	176	105	0	36925	87.34
ERR2712603	32357	250	250	5067	1669	0	0	0	0	30688	248	250	5766	278	172	1	26848	87.49
ERR2712886	25348	250	250	7324	2409	0	0	0	0	22939	246	250	4106	45	32	0	20105	87.65
ERR2712594	16458	250	250	2817	852	0	0	0	0	15606	249	250	3093	131	93	1	13733	88.0
ERR2712850	34384	250	250	10334	2806	0	0	1	0	31577	247	250	7893	84	63	3	25749	81.54
ERR2712759	23295	250	250	7077	1992	0	0	1	0	21302	246	250	4999	88	57	0	18380	86.28
ERR2712712	9917	250	250	2164	753	0	0	0	0	9164	248	250	1825	50	35	0	8272	90.27
