OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_325	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
OTU_1074	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_1157	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_405	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	
OTU_1132	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	
OTU_1172	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	
OTU_2002	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	
OTU_2376	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	
OTU_1423	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus stearothermophilus
OTU_209	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	
OTU_180	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
OTU_2130	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	
OTU_2312	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	
OTU_704	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group		
OTU_1106	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum subsp. nucleatum
OTU_1267	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	
OTU_570	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	
OTU_1640	Bacteria	Elusimicrobia	Lineage IIb	metagenome			
OTU_617	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae		
OTU_274	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_658	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_1463	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	
OTU_112	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
OTU_1117	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_1344	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_1836	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae		
OTU_776	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema 2	uncultured Treponema sp.
OTU_310	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-008	
OTU_1761	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	
OTU_707	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 4	
OTU_1511	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	W5053	
OTU_795	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	
OTU_459	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	
OTU_2133	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
