OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica
OTU_49	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp.
OTU_32	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria marthii
OTU_2	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
OTU_5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica subsp. enterica serovar Agona str. 47.E.09
OTU_31	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica subsp. enterica serovar Agona str. 47.E.09
OTU_36	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales			
OTU_60	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Brochothrix sp. TM5_5
OTU_43	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
OTU_12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	
OTU_3	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
OTU_34	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
OTU_38	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
OTU_62	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
OTU_21	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
OTU_4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU_23	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU_8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
OTU_6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
OTU_41	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
OTU_58	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus aidingensis
OTU_22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	uncultured Bacillus sp.
OTU_55	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus acidicola
OTU_57	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella sp.
OTU_14	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pelomonas	uncultured Comamonadaceae bacterium
OTU_1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. 2011_Ileo_VSA_C5
OTU_26	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. 2011_Ileo_VSA_C5
OTU_45	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
OTU_39	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
OTU_61	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
OTU_7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
OTU_19	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
OTU_37	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
OTU_15	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
OTU_44	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU_54	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
OTU_25	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
OTU_42	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. M29(2016b)
OTU_33	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
