#OTU ID	IHMS1	IHMS2	IHMS3	IHMS4	IHMS5	IHMS6	MOBIO1	MOBIO2	MOBIO3	MOBIO4	MOBIO5	MOBIO6
OTU_1	0	112	3	0	4384	2845	0	85	6	1	3044	13479
OTU_10	0	0	0	0	843	626	0	0	0	0	769	394
OTU_100	0	0	0	0	0	0	0	4	79	44	0	1
OTU_101	26	0	0	0	0	0	51	0	0	0	0	0
OTU_102	0	0	0	0	72	37	0	0	0	0	63	69
OTU_103	0	3	0	0	5	10	0	1	0	0	13	48
OTU_104	0	0	0	1	0	0	0	0	5	56	0	0
OTU_105	0	0	54	0	1	0	0	0	0	0	0	0
OTU_106	0	0	0	0	64	3	0	0	0	0	0	0
OTU_107	0	27	0	0	0	0	0	129	0	0	0	0
OTU_108	0	0	47	0	0	0	0	0	0	0	16	0
OTU_109	0	44	0	0	0	0	1	50	0	0	0	0
OTU_11	6	0	516	676	3	37	27	64	309	642	30	34
OTU_110	31	30	0	0	0	0	0	76	0	0	0	0
OTU_111	0	0	0	0	41	19	0	0	0	0	17	5
OTU_112	0	0	0	0	0	1	0	0	42	0	0	0
OTU_113	0	0	0	0	0	0	0	64	0	0	0	0
OTU_114	144	3	16	12	15	18	0	0	0	2	0	1
OTU_115	0	0	0	69	0	0	0	0	7	0	0	0
OTU_116	0	107	0	0	0	0	0	0	0	0	0	0
OTU_117	0	0	36	50	0	0	2	0	6	0	0	0
OTU_118	0	0	64	103	0	0	0	0	6	17	0	0
OTU_119	58	0	0	0	0	0	56	18	0	0	0	0
OTU_12	1040	491	0	0	0	0	966	817	0	0	0	0
OTU_120	0	0	0	0	0	0	0	41	0	0	0	0
OTU_121	0	0	0	0	27	21	0	0	0	0	4	5
OTU_122	0	0	30	0	0	0	0	0	0	34	0	0
OTU_123	0	87	0	0	0	0	0	0	0	0	0	0
OTU_124	0	0	0	0	0	0	0	58	0	0	0	0
OTU_125	74	24	0	0	0	0	85	101	0	0	0	0
OTU_126	84	0	0	0	0	0	12	2	0	0	0	0
OTU_127	0	0	0	0	0	0	0	70	0	0	0	0
OTU_128	0	0	0	0	35	34	0	0	0	0	68	27
OTU_129	58	0	0	0	0	0	4	14	0	0	0	0
OTU_13	0	0	0	0	386	385	0	0	1	0	1040	286
OTU_130	12	0	25	0	0	0	0	1	0	0	0	0
OTU_131	6	0	91	180	5	15	0	15	14	16	0	0
OTU_132	0	0	56	0	0	0	0	0	0	0	0	0
OTU_133	0	0	12	2	0	0	0	0	7	16	0	0
OTU_134	0	0	2	0	0	0	0	0	0	57	0	0
OTU_135	0	0	0	0	90	38	0	0	0	0	37	56
OTU_136	0	0	0	0	0	0	61	0	0	0	0	0
OTU_137	0	0	0	0	0	0	0	45	0	0	0	0
OTU_138	3	14	0	0	1	2	0	27	0	1	11	13
OTU_139	1	0	84	19	5	0	0	0	5	0	0	0
OTU_14	156	811	0	0	60	182	0	1547	14	24	305	208
OTU_140	0	0	0	0	20	8	0	0	0	0	4	0
OTU_141	0	0	36	0	0	0	0	0	5	25	0	0
OTU_142	0	1	0	0	2	0	0	0	0	0	0	29
OTU_143	4	0	3	3	0	0	7	0	22	4	4	0
OTU_144	0	0	0	0	4	5	0	0	0	0	54	4
OTU_145	0	0	53	2	646	9	0	0	0	0	4	0
OTU_146	131	768	21	0	0	29	275	117	2	24	0	0
OTU_147	0	0	0	0	0	0	0	80	0	0	0	0
OTU_148	0	0	0	0	0	0	0	44	0	0	0	0
OTU_149	0	0	0	0	0	0	59	0	0	0	0	0
OTU_15	1268	0	0	0	0	0	2	0	0	0	0	0
OTU_150	0	0	53	0	0	0	0	0	0	14	0	0
OTU_151	0	0	0	0	0	0	0	0	70	0	0	0
OTU_152	1	0	2	0	5	3	0	0	1	50	1	1
OTU_153	0	0	14	12	1	1	0	0	2	14	4	1
OTU_154	0	0	38	9	0	0	0	0	0	0	0	0
OTU_155	37	0	0	0	0	0	0	0	0	0	0	0
OTU_156	0	0	51	264	0	0	0	0	0	14	0	0
OTU_157	110	502	20	0	0	16	177	71	1	14	0	0
OTU_158	15	0	0	4	5	3	0	0	9	38	8	0
OTU_159	0	0	0	0	0	0	0	0	0	49	0	0
