sample	Raw_reads	Raw_mean_length	Raw_median_length	Trimmed	Removed	Host_1_time	Host_>1_time	Phi_phage_1_time	Phi_phage_>1_time	Filtered_reads	Filtered_mean_length	Filtered_median_length	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_proc
MOBIO3	19154	252	256	2469	1757	2	163	0	0	17232	260	271	2714	249	241	0	16635	96.54
IHMS6	16496	187	160	3104	3232	1	600	0	0	12663	195	160	2016	216	213	0	12281	96.98
MOBIO5	21236	175	158	3601	3005	2	845	0	0	17384	182	158	2310	248	245	0	16958	97.55
MOBIO6	25688	207	249	3336	2661	1	1168	0	0	21858	216	249	2178	257	243	0	21467	98.21
IHMS5	22600	180	159	3890	3798	3	1051	0	0	17748	187	159	2432	275	269	0	17247	97.18
IHMS3	16067	265	256	3204	1729	2	85	0	0	14251	273	256	2931	287	276	0	13740	96.41
MOBIO2	21074	259	258	2963	2206	6	271	0	0	18591	266	261	3860	349	344	0	17864	96.09
IHMS1	19217	256	264	2496	1775	1	157	0	0	17284	263	265	3250	322	314	0	16780	97.08
MOBIO4	20246	257	273	3007	1683	4	183	0	0	18376	265	279	2963	308	306	0	17967	97.77
IHMS2	20006	249	272	2258	1681	1	422	0	0	17902	256	272	2494	260	259	0	17682	98.77
MOBIO1	17162	265	271	2363	1394	3	157	0	0	15608	270	271	2903	262	253	0	15090	96.68
IHMS4	17333	253	256	3082	1737	2	92	0	0	15502	261	256	3040	277	275	0	15071	97.22
