OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_26	Fungi	Ascomycota					
OTU_105	Fungi	Ascomycota					
OTU_159	Fungi	Basidiomycota					
OTU_280	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	flavescens
OTU_31	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Candida	parapsilosis
OTU_110	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Candida	
OTU_359	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Candida	
OTU_57	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	tenuissimum
OTU_433	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Pichia	kudriavzevii
OTU_9	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_10	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_20	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_35	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_69	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_92	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_96	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_102	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_111	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	
OTU_128	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_135	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_207	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_209	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_261	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_267	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_294	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_301	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_385	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_402	Fungi	Ascomycota	Saccharomycetes				
OTU_412	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_418	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_423	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	infectoria
OTU_14	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	chrysogenum
OTU_458	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_194	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	lactis
OTU_434	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	
OTU_137	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	aculeatus
OTU_63	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	niger
OTU_174	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_374	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_305	Fungi	Basidiomycota	Agaricomycetes				
OTU_370	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	hansenii
OTU_146	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	
OTU_157	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	
OTU_212	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	
OTU_269	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	
OTU_384	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	
OTU_438	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	
OTU_445	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	
OTU_98	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_45	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_70	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	
OTU_103	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_113	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	
OTU_171	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	atroviride
OTU_297	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Candida	quercitrusa
OTU_148	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae		
OTU_205	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	halotolerans
OTU_456	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_250	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae		
OTU_16	Fungi	Basidiomycota	Exobasidiomycetes	Malasseziales	Malasseziaceae	Malassezia	restricta
OTU_465	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_55	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Rhodotorula	Rhodotorula	mucilaginosa
OTU_189	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	apollinis
OTU_123	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Sarocladium	
OTU_322	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	macerans
OTU_7	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_13	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	
OTU_34	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_144	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_191	Fungi	Ascomycota	Saccharomycetes				
OTU_248	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_274	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	
OTU_309	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	
OTU_312	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_333	Fungi	Ascomycota	Saccharomycetes				
OTU_347	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_391	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	
OTU_409	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_441	Fungi	Ascomycota	Saccharomycetes				
OTU_442	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_79	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_30	Fungi	Ascomycota					
OTU_112	Fungi	Ascomycota					
OTU_340	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_327	Fungi	Chytridiomycota					
OTU_426	Fungi	Chytridiomycota					
OTU_175	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	sebi
OTU_427	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae		
OTU_138	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_60	Fungi	Basidiomycota	Exobasidiomycetes	Malasseziales	Malasseziaceae	Malassezia	
OTU_62	Fungi	Basidiomycota	Exobasidiomycetes	Malasseziales	Malasseziaceae	Malassezia	
OTU_109	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	charlesii
OTU_224	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Meyerozyma	(Pichia)
OTU_59	Fungi	Ascomycota					
OTU_94	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_168	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	roseus
OTU_18	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	macrocarpum
OTU_266	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	
OTU_459	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	
OTU_84	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Candida	albicans
OTU_81	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	ostreatus
OTU_29	Fungi	Basidiomycota	Exobasidiomycetes	Malasseziales	Malasseziaceae	Malassezia	sympodialis
OTU_163	Fungi	Basidiomycota	Exobasidiomycetes	Malasseziales			
OTU_54	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	capitatum
OTU_1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	roqueforti
OTU_78	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	roqueforti
OTU_41	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
OTU_132	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
OTU_429	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
OTU_64	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	olsoni
OTU_164	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	brevicompactum
OTU_169	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Sarcinomyces	
OTU_255	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
OTU_124	Fungi	Ascomycota	Leotiomycetes	Thelebolales			
OTU_19	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_74	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_77	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
