OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_188	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_158	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus
OTU_414	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
OTU_173	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_130	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_241	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_212	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
OTU_34	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_152	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_449	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	
OTU_21	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_194	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_376	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_78	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_162	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_271	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
OTU_508	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_343	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_263	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_145	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_150	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_287	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_283	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_137	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_451	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
OTU_124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_114	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]		
OTU_19	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
OTU_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
OTU_149	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus
OTU_519	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae		
OTU_260	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7		
OTU_443	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_53	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_481	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_338	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_230	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_348	Bacteria	Tenericutes	Mollicutes	RF39			
OTU_159	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_326	Bacteria	Tenericutes	Mollicutes	RF39			
OTU_395	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_313	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_41	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_254	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_426	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus
OTU_72	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_81	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_247	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_405	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_450	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_216	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_325	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_425	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_401	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_105	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_117	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_45	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_102	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7		
OTU_281	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_92	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_141	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_298	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_178	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_128	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_274	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_11	Bacteria	Proteobacteria	Alphaproteobacteria	RF32			
OTU_71	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_355	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
