OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_220	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_293	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
OTU_127	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_509	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_102	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	
OTU_401	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_322	Bacteria	Tenericutes	Mollicutes				
OTU_451	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_485	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	
OTU_474	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
OTU_299	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	
OTU_404	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_92	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
OTU_1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
OTU_301	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Harryflintia	
OTU_390	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
OTU_282	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_486	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	uncultured Clostridiales bacterium
OTU_229	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
OTU_133	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		
