sample	Raw_reads_fwd	Raw_mean_length_fwd	Raw_median_length_fwd	Raw_reads_rev	Raw_mean_length_rev	Raw_median_length_rev	Trimmed	Trimmed_fwd	Trimmed_rev	Removed	Removed_fwd	Removed_rev	Filtered_reads_fwd	Filtered_mean_length_fwd	Filtered_median_length_fwd	Filtered_reads_rev	Filtered_mean_length_rev	Filtered_median_length_rev	Combined pairs	Uncombined pairs	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_combined
5ng-25cycles-2_S27	284620	300	301	284620	300	300	535653	251625	284028	14	7	7	284613	285	284	284613	279	279	282525	284613	131359	2125	1756	4	238088	83.65
20ng-20cycles-1_S14	297586	300	301	297586	300	300	561759	264767	296992	4	2	2	297584	285	284	297584	279	279	295212	297584	134679	2100	1886	4	255895	85.99
20ng-25cycles-3_S4	296908	300	301	296908	300	300	564512	268252	296260	8	4	4	296904	285	284	296904	279	279	294155	296904	141106	2246	1812	5	240633	81.05
5ng-25cycles-1_S26	216807	300	301	216807	300	300	410968	194591	216377	6	3	3	216804	285	284	216804	279	279	215222	216804	98761	1547	1296	6	182120	84.0
20ng-25cycles-1_S2	302678	300	301	302678	300	300	577044	274979	302065	13	7	6	302671	285	284	302671	279	279	299987	302671	148426	2291	1814	3	242561	80.14
zero5ng-25cycles-2_S63	352123	300	301	352123	300	300	659554	308094	351460	4	2	2	352121	286	284	352121	279	279	348756	352121	165806	2592	2317	2	300582	85.36
zero5ng-25cycles-1_S62	308283	300	301	308283	300	300	581421	273749	307672	6	3	3	308280	285	284	308280	279	279	305526	308280	140665	2110	1940	2	266145	86.33
1ng-25cycles-2_S39	225513	300	301	225513	300	300	422683	197695	224988	4	2	2	225511	286	284	225511	279	279	222725	225511	116008	1826	1583	3	184494	81.81
1ng-30cycles-1_S50	275152	300	301	275152	300	300	520299	245752	274547	34	17	17	275134	285	284	275134	279	279	272693	275134	136424	2068	1587	8	219023	79.61
20ng-25cycles-2_S3	269896	300	301	269896	300	300	510908	241591	269317	8	4	4	269892	285	284	269892	279	279	267249	269892	135359	2156	1676	2	213001	78.92
1ng-25cycles-1_S38	133794	300	301	133794	300	300	252331	118843	133488	4	2	2	133792	285	284	133792	279	279	132305	133792	66824	1033	915	2	111204	83.12
zero5ng-25cycles-3_S64	236495	300	301	236495	300	300	445831	209795	236036	5	3	2	236492	285	284	236492	279	279	234247	236492	104951	1692	1581	3	206026	87.12
20ng-20cycles-2_S15	386487	300	301	386487	300	300	727489	341766	385723	10	5	5	386482	285	284	386482	279	279	383237	386482	179798	2840	2514	2	328702	85.05
zero5ng-30cycles-3_S76	132333	300	301	132333	300	300	244174	114554	129620	2	1	1	132332	286	284	132332	280	279	118610	132332	110832	428	383	0	53758	40.62
1ng-25cycles-3_S40	172137	300	301	172137	300	300	324738	152947	171791	2	1	1	172136	285	284	172136	279	279	170386	172136	83061	1292	1175	4	145965	84.8
zero5ng-30cycles-2_S75	242911	300	301	242911	300	300	461139	218777	242362	14	7	7	242904	285	284	242904	279	279	240422	242904	113875	1744	1430	4	198702	81.8
zero5ng-30cycles-1_S74	359368	300	301	359368	300	300	682671	324017	358654	45	23	22	359345	285	284	359345	279	279	355985	359345	172641	2623	2030	5	288718	80.35
20ng-20cycles-3_S16	306702	300	301	306702	300	300	578443	272408	306035	6	3	3	306699	285	284	306699	279	279	303921	306699	135634	2066	1881	1	264662	86.29
1ng-30cycles-2_S51	391843	300	301	391843	300	300	739590	348609	390981	10	5	5	391838	285	284	391838	279	279	388256	391838	191024	3020	2504	4	319274	81.48
5ng-25cycles-3_S28	285903	300	301	285903	300	300	540819	255475	285344	4	2	2	285901	285	284	285901	279	279	283559	285901	127824	1980	1635	4	241584	84.5
1ng-30cycles-3_S52	256766	300	301	256766	300	300	481510	225448	256062	6	3	3	256763	286	284	256763	279	279	252059	256763	172934	2181	1891	2	189728	73.89
