OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_25	Bacteria	Firmicutes					
OTU_59	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp.
OTU_40	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
OTU_9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
OTU_62	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	
OTU_60	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	
OTU_2	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
OTU_5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica subsp. enterica serovar Agona str. 47.E.09
OTU_45	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales			
OTU_44	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
OTU_19	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	
OTU_20	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pelomonas	uncultured Comamonadaceae bacterium
OTU_3	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
OTU_47	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
OTU_14	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
OTU_70	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
OTU_18	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	
OTU_4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU_65	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	
OTU_8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
OTU_67	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
OTU_6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
OTU_66	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
OTU_11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
OTU_28	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
OTU_49	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU_15	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
OTU_1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. 2011_Ileo_VSA_C5
OTU_26	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
OTU_41	Eukaryota	Fungi	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans var. neoformans B-3501A
OTU_69	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
OTU_12	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
OTU_55	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
OTU_61	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
OTU_7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
OTU_24	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
OTU_46	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
OTU_53	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
OTU_52	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
OTU_38	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
OTU_43	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU_42	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
