OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_56	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_52	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_190	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae		
OTU_271	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_235	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	
OTU_95	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_71	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
OTU_143	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_146	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_288	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	
OTU_171	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_186	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_38	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	
OTU_79	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
OTU_202	Bacteria	Actinobacteria	Nitriliruptoria				
OTU_229	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_24	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_81	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_114	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	
OTU_181	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae		
OTU_162	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_104	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_227	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_93	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_203	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_87	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae		
OTU_120	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_137	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_49	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_267	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_91	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	animalis
OTU_207	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	
OTU_282	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_242	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
OTU_13	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	
OTU_172	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
OTU_259	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_88	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_5	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
OTU_96	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_236	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_16	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
OTU_218	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]		
OTU_217	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
OTU_36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_62	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	
OTU_60	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_85	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_150	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_30	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_130	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_241	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_18	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_273	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_51	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_173	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_77	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	
OTU_75	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_246	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]		
OTU_280	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	
OTU_223	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	
OTU_269	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_6	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_115	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_19	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_128	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	torques
OTU_184	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_215	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella	
OTU_249	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_123	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_139	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_40	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_26	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	
OTU_247	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_31	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	
OTU_101	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_160	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_94	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_76	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_142	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_262	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_149	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_103	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_136	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_68	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta
OTU_174	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
OTU_275	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_230	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_245	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
OTU_112	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_176	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_191	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_199	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_213	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae		
OTU_163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	
OTU_270	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_279	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	
OTU_135	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_183	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio	
OTU_154	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_268	Bacteria	Firmicutes					
OTU_50	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	
OTU_226	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_108	Bacteria	Firmicutes	Clostridia	Clostridiales			
OTU_167	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	
OTU_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
