#OTU ID	IHMS1	IHMS2	IHMS3	IHMS4	IHMS5	IHMS6	MOBIO1	MOBIO2	MOBIO3	MOBIO4	MOBIO5	MOBIO6
OTU_1	3226	2130	3651	3468	2353	1546	2420	1734	1948	1877	921	2061
OTU_10	344	527	442	679	104	208	216	326	601	686	62	185
OTU_100	14	10	87	85	35	39	15	3	51	27	10	15
OTU_101	42	30	0	0	1	12	38	23	0	0	4	3
OTU_102	21	25	9	9	0	0	30	15	15	4	0	0
OTU_103	24	15	25	43	23	30	30	13	23	20	13	13
OTU_104	0	0	0	2	12	24	0	1	0	0	6	4
OTU_105	0	0	0	0	22	21	0	0	0	0	8	27
OTU_106	12	16	0	0	0	0	16	9	0	0	0	0
OTU_107	0	0	23	36	0	0	4	0	24	15	0	0
OTU_108	2	5	6	2	2	2	8	5	4	3	3	6
OTU_109	0	0	0	0	14	12	0	0	0	0	2	4
OTU_11	134	484	16	19	103	69	307	1147	46	40	66	288
OTU_110	37	31	12	7	13	9	28	39	26	25	33	42
OTU_111	47	37	4	6	5	9	23	12	0	0	3	3
OTU_112	18	8	49	41	20	17	11	6	11	7	4	3
OTU_113	23	18	33	30	24	12	19	22	14	29	6	18
OTU_114	4	2	13	8	1	0	1	1	7	0	0	0
OTU_115	23	48	10	18	4	4	14	7	28	14	6	4
OTU_116	0	0	40	51	2	3	1	0	12	7	3	0
OTU_117	6	21	0	0	0	4	7	18	0	0	9	4
OTU_118	3	1	1	3	1	1	0	1	2	2	3	1
OTU_119	1	12	11	11	5	2	5	4	3	4	0	3
OTU_12	276	372	205	163	100	136	157	131	71	41	54	39
OTU_120	5	1	2	4	4	3	1	2	8	1	6	3
OTU_121	0	0	0	0	247	146	0	0	0	0	11	29
OTU_122	13	8	2	4	4	9	9	6	4	1	4	2
OTU_123	0	0	0	0	16	19	0	0	0	0	5	2
OTU_124	1	1	4	0	19	26	2	0	0	0	7	20
OTU_125	15	14	5	10	1	1	18	13	29	25	11	13
OTU_126	24	29	40	49	6	10	16	30	43	51	5	11
OTU_127	14	26	5	12	0	8	10	51	15	35	9	9
OTU_128	8	7	37	30	44	27	8	8	46	47	74	39
OTU_129	10	5	1	1	40	93	2	0	0	0	10	17
OTU_13	190	67	206	180	133	402	157	81	82	75	43	56
OTU_130	0	1	0	0	15	12	0	0	0	0	5	8
OTU_131	7	4	7	2	2	2	8	5	3	1	2	1
OTU_132	0	4	6	11	0	2	3	0	5	10	2	0
OTU_133	6	3	10	7	11	8	5	1	15	12	19	9
OTU_134	175	184	572	832	150	216	245	150	728	932	140	402
OTU_135	0	0	13	11	21	9	0	0	3	2	15	1
OTU_136	0	0	41	18	20	22	0	0	10	2	11	7
OTU_137	6	8	2	3	2	1	3	7	8	16	2	2
OTU_138	6	5	61	39	28	6	0	4	30	18	2	13
OTU_139	8	12	9	5	2	3	11	11	3	4	0	0
OTU_14	349	293	97	98	24	32	266	220	393	299	72	61
OTU_140	1	0	55	24	0	2	0	0	10	8	0	0
OTU_141	7	6	0	2	6	44	5	1	0	0	0	0
OTU_142	0	0	5	6	0	0	0	0	1	0	0	0
OTU_143	0	0	0	0	9	8	0	0	0	0	6	11
OTU_144	0	0	0	0	50	38	0	0	0	0	25	9
OTU_145	87	14	21	24	10	17	8	7	18	38	9	27
OTU_146	7	0	0	0	0	1	13	3	0	0	0	0
