OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_260	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	
OTU_246	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Family XIII UCG-001	
OTU_45	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	
OTU_224	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_89	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	
OTU_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum subsp. longum
OTU_102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_23	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii DSM 17242
OTU_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_171	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae		
OTU_129	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	Escherichia sp. 63
OTU_156	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
OTU_275	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	
OTU_177	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_250	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_139	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_215	Bacteria	Firmicutes	Bacilli	Bacillales	Family XI	Gemella	
OTU_131	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_268	Bacteria	Actinobacteria	Coriobacteriia				
OTU_180	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	GCA-900066575	
OTU_78	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_68	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
OTU_113	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	
OTU_123	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_118	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_62	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella	
OTU_55	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	
OTU_212	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae		
OTU_228	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_126	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	
OTU_53	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Family XIII UCG-001	
OTU_170	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	
OTU_197	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	
OTU_279	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	
OTU_109	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Brachyspira sp. NSH-25
